Symbol,RSI
BMRC,37.6
MLKN,37.6
UFPI,37.6
APA,37.6
MDC,37.6
TR,37.6
WSM,37.6
BK,37.6
BORR,37.6
RGTI,37.5
SDGR,37.5
R,37.5
FF,37.5
DE,37.5
AMCR,37.4
TMST,37.4
PAA,37.4
OTIS,37.3
KNSL,37.3
AMPH,37.2
HLX,37.2
DY,37.1
BGNE,37.1
OFG,37.1
ROG,37.0
CW,37.0
BVS,37.0
GO,37.0
YUM,37.0
ARL,37.0
WSC,37.0
ISRG,36.9
LAD,36.9
ORCL,36.9
ZM,36.9
EVR,36.9
PGNY,36.8
ZLAB,36.8
EL,36.8
ACM,36.8
NVRI,36.8
FULT,36.7
THO,36.7
DO,36.7
CNK,36.7
ALTG,36.7
RGEN,36.7
CMI,36.7
SITM,36.7
CALM,36.7
MSFT,36.7
ELV,36.7
JBGS,36.6
WH,36.6
FWONK,36.6
AMP,36.6
NRC,36.6
DTE,36.6
SFBS,36.6
PSX,36.5
WAFD,36.5
AROC,36.5
OLED,36.5
WFC,36.5
BLDP,36.5
NJR,36.4
STT,36.4
CBT,36.4
AWR,36.4
CGNX,36.4
AZN,36.3
AMGN,36.3
TOL,36.3
IVZ,36.3
PH,36.2
ZBRA,36.2
SABR,36.2
EME,36.2
GLPI,36.2
SEE,36.2
PLXS,36.2
MTH,36.1
KEYS,36.1
FSV,36.1
RRR,36.1
CNC,36.1
J,36.1
DEN,36.1
PRGS,36.1
WMB,36.1
REGN,36.0
PII,36.0
PUMP,36.0
WGO,36.0
NI,35.9
TWI,35.9
NMIH,35.9
TDS,35.9
MSM,35.9
OZK,35.9
KBR,35.9
AXP,35.8
GTN,35.8
BGS,35.8
SKT,35.8
DDD,35.7
LEA,35.7
ACA,35.7
EYE,35.6
NBTB,35.6
KNTK,35.6
CI,35.5
CAL,35.5
CRC,35.5
UNH,35.5
ILMN,35.5
DIOD,35.5
LCII,35.5
CF,35.5
LLY,35.5
IBTX,35.5
NOG,35.5
MP,35.5
MED,35.4
DHX,35.4
USFD,35.4
RCL,35.4
TJX,35.4
ABT,35.4
PFE,35.3
HCC,35.3
X,35.3
ENSG,35.3
VRTV,35.2
IIIN,35.2
CNX,35.2
JPM,35.1
MTX,35.1
CNNE,35.1
ABM,35.1
GDDY,35.1
TMHC,35.1
DAR,35.0
MRK,35.0
VTRS,35.0
MD,34.9
KMI,34.8
CC,34.8
EOG,34.8
ASGN,34.8
ETR,34.8
EPAC,34.8
ATR,34.7
CHD,34.7
CMA,34.7
SHC,34.7
ENR,34.6
TFX,34.6
PWR,34.6
AMG,34.6
MNRO,34.6
APH,34.6
TALO,34.5
V,34.5
WRK,34.4
APD,34.4
EQT,34.4
FITB,34.4
BRKR,34.4
PEN,34.3
IR,34.3
FLYW,34.3
COP,34.3
GOGO,34.3
JBL,34.2
PFGC,34.2
EIX,34.2
IVR,34.2
ALLY,34.2
EB,34.2
WNC,34.2
BEAM,34.1
GNTX,34.1
ST,34.0
YETI,34.0
LAUR,34.0
VMC,34.0
ECVT,33.9
AR,33.9
NYCB,33.9
ANET,33.9
BGC,33.9
PLAB,33.9
OXY,33.9
TDY,33.9
SIGA,33.8
AGX,33.8
ASC,33.8
XYL,33.8
XRAY,33.8
FWONA,33.8
VSH,33.8
DVN,33.8
LOPE,33.8
CARR,33.8
FIHL,33.7
PLNT,33.7
HAL,33.7
CTOS,33.7
WEC,33.7
VSCO,33.7
MOH,33.7
ESTA,33.7
BKD,33.6
B,33.6
ED,33.6
FBP,33.6
ENVA,33.5
AVNT,33.5
PGY,33.5
WIX,33.4
ATSG,33.3
BRX,33.3
FOXF,33.3
HBAN,33.2
CLB,33.2
DNUT,33.2
AMKR,33.2
BC,33.1
TBI,33.1
TNL,33.1
ESGR,33.0
CRGY,33.0
CHDN,33.0
RNR,33.0
OIS,32.9
UPBD,32.9
EMN,32.9
SPG,32.9
TMDX,32.9
ABG,32.8
FLT,32.8
BKH,32.7
DOW,32.7
IEP,32.7
SSNC,32.7
SXT,32.7
WASH,32.6
AAON,32.6
SLVM,32.5
FN,32.5
CAT,32.5
CCEP,32.4
BAX,32.4
HAFC,32.4
TRGP,32.4
XHR,32.3
CERS,32.3
NSA,32.2
VMI,32.2
HL,32.2
SCHW,32.2
OSK,32.2
PGTI,32.2
HIMS,32.1
GES,32.1
BWXT,32.1
WBS,32.0
VTYX,32.0
HYLN,32.0
POOL,31.9
FR,31.9
LILM,31.9
PPBI,31.8
OC,31.7
ASIX,31.7
ETSY,31.7
SMG,31.7
TBBK,31.6
JXN,31.6
GS,31.5
SRCL,31.5
SGH,31.5
GVA,31.5
BKR,31.5
LECO,31.4
HP,31.4
WAB,31.4
FNF,31.4
SLCA,31.3
MNST,31.3
ONTO,31.3
EXC,31.3
CTRA,31.3
VAC,31.2
LHX,31.1
CHRD,31.1
WYNN,30.9
CADE,30.9
OKE,30.9
FLEX,30.9
DOUG,30.9
PAYO,30.8
MTG,30.8
NVCR,30.7
TCBI,30.7
COO,30.6
IQ,30.4
FMC,30.4
NCLH,30.4
EEFT,30.3
AVT,30.3
WWW,30.2
TKR,30.2
NWSA,30.2
ME,30.1
PHM,30.1
TTMI,30.0
NUE,30.0
RELY,30.0
NEE,30.0
AAN,29.9
HSY,29.8
CZR,29.8
ESAB,29.8
TAP,29.8
ARCB,29.7
DUK,29.7
DFS,29.6
MRO,29.6
VLO,29.5
PDD,29.4
EWBC,29.4
COLM,29.3
EXEL,29.3
GL,29.1
CEG,29.1
MCS,29.1
CHK,29.0
LAMR,29.0
VRRM,29.0
TSEM,28.9
IRM,28.8
FIVN,28.8
IBKR,28.7
ATRC,28.7
DHR,28.7
SHLS,28.7
RXO,28.5
BOOT,28.5
DRQ,28.5
APTV,28.5
ESTE,28.5
FANG,28.5
DNMR,28.5
CWH,28.4
IPG,28.4
KO,28.3
DINO,28.3
COLB,28.2
RDFN,28.1
KBH,28.1
NOV,28.0
BDX,27.9
GT,27.9
ARW,27.9
WOLF,27.8
ABCM,27.7
FCFS,27.6
SYY,27.6
HWM,27.5
FBIN,27.5
RVTY,27.5
VAL,27.3
MBUU,27.2
NFG,27.2
WAT,27.1
LIN,27.0
ROIV,26.9
WOR,26.8
VRNA,26.8
FLR,26.6
ES,26.6
SM,26.6
MTDR,26.6
LBTYK,26.5
PR,26.5
SANA,26.4
CVX,26.4
TRN,26.4
EVH,26.4
GBX,26.3
ADM,26.2
ATRI,26.1
LMT,26.0
RES,25.9
BF.B,25.8
LEN,25.8
CSX,25.7
MKC,25.7
SIMO,25.6
LYB,25.6
MGNX,25.6
PTON,25.4
PTEN,25.3
KLIC,25.3
DLB,25.2
WBA,25.0
TPH,25.0
HELE,24.8
ZTS,24.5
HOG,24.5
OVV,24.4
DD,24.4
JCI,24.3
DHI,24.2
TXT,24.2
APEI,24.2
VICR,23.7
MEOH,23.7
ANGO,23.7
ALGN,23.6
PEG,23.5
LVS,23.4
AWK,23.3
LPX,23.2
CE,23.1
DTC,23.1
RPM,23.0
CHX,23.0
MLTX,23.0
DASH,23.0
COOK,22.3
CWT,22.3
COHR,22.3
RRC,22.1
TRMK,22.1
SLB,21.5
FIGS,20.9
INMD,20.5
STZ,19.8
PPC,19.6
AAT,19.6
TFC,19.5
SOVO,18.8
GE,18.7
SWN,18.3
RNW,18.2
HES,17.4
AOS,16.9
WOOF,16.6
LBRT,16.0
KRO,15.3
MUR,14.3
IRDM,14.2
